label,garden,bed,taxon,HvA,population,genotype,longitude,latitude,herbivory_2019,flowers_2019,fruits_2019,biomass_2019,survival_2020,length,width,length_width_ratio,area,chlorophyll,specific_leaf_area,leaf_traits_pc1,leaf_traits_pc2,leaf_traits_pc3,geographic_distance,genetic_distance,environmental_distance
14,1-Amoena-PB,1,amoena,home,1701,1701_05,-83.14457,34.68221,0,0,9,743.52,1,3.831,0.734,5.219,2.139,56.8,173.198,-1.714810312,-0.705188886,0.599031576,389785.01,0.36717,0.613112508
23,1-Amoena-PB,1,amoena,home,1701,1701_01,-83.14457,34.68221,1,4,7,534.08,0,3.209,0.745,4.307,1.841,55.1,192.775,-1.912004478,-1.179450349,0.236564668,389785.01,0.36717,0.613112508
42,1-Amoena-PB,1,amoena,home,1701,1701_18,-83.14457,34.68221,1,0,0,313,0,3.606,0.535,6.74,1.489,53.6,162.024,-0.985758578,-1.669983104,1.083953118,389785.01,0.36717,0.613112508
72,1-Amoena-PB,1,amoena,home,1701,1701_12,-83.14457,34.68221,1,19,26,1724,0,2.911,0.643,4.527,1.455,58.1,200.413,-2.00951871,-1.668741895,0.660271275,389785.01,0.36717,0.613112508
82,1-Amoena-PB,2,amoena,home,1701,1701_10,-83.14457,34.68221,1,5,9,1649.68,0,4.662,0.868,5.371,3.321,52.9,181.575,-1.301533938,0.372772417,-0.343750738,389785.01,0.36717,0.613112508
89,1-Amoena-PB,2,amoena,home,1701,1701_04,-83.14457,34.68221,0,15,0,605,0,2.799,0.595,4.704,1.213,46.5,223.389,-1.014889153,-2.484100576,-0.366985182,389785.01,0.36717,0.613112508
111,1-Amoena-PB,2,amoena,home,1701,1701_16,-83.14457,34.68221,0,0,0,434,1,4.255,0.667,6.379,2.197,51.3,186.82,-0.847348851,-0.992636533,0.158492295,389785.01,0.36717,0.613112508
163,1-Amoena-PB,3,amoena,home,1701,1701_13,-83.14457,34.68221,1,0,0,158,0,2.391,0.654,3.656,1.186,56.4,182.743,-2.216137344,-1.884414825,0.766508573,389785.01,0.36717,0.613112508
169,1-Amoena-PB,3,amoena,home,1701,1701_11,-83.14457,34.68221,1,0,0,196,0,3.647,0.643,5.672,1.573,52.3,194.919,-1.200415177,-1.601577699,0.304846407,389785.01,0.36717,0.613112508
176,1-Amoena-PB,3,amoena,home,1701,1701_20,-83.14457,34.68221,1,0,0,237,0,3.913,0.771,5.075,2.361,58.5,192.107,-1.87288743,-0.511526074,0.359249395,389785.01,0.36717,0.613112508
205,1-Amoena-PB,3,amoena,home,1701,1701_07,-83.14457,34.68221,1,0,2,712.64,1,4.398,0.621,7.082,2.097,52.8,160.936,-0.775607595,-0.930485415,0.741616282,389785.01,0.36717,0.613112508
223,1-Amoena-PB,3,amoena,home,1701,1701_02,-83.14457,34.68221,1,9,14,681.8,0,4.585,0.889,5.157,3.174,51.1,160.061,-1.304148887,0.37075765,-0.216690236,389785.01,0.36717,0.613112508
244,1-Amoena-PB,4,amoena,home,1701,1701_06,-83.14457,34.68221,1,0,0,171,0,3.778,0.704,5.366,1.941,59.5,234.42,-1.800175746,-1.182792933,0.137521157,389785.01,0.36717,0.613112508
250,1-Amoena-PB,4,amoena,home,1701,1701_08,-83.14457,34.68221,1,10,5,523.08,0,4.569,0.616,7.417,2.218,55.8,166.018,-0.883984337,-0.754685249,0.899470678,389785.01,0.36717,0.613112508
284,1-Amoena-PB,4,amoena,home,1701,1701_17,-83.14457,34.68221,0,0,6,944.08,0,4.391,0.868,5.059,2.871,49.1,220.338,-1.131643385,-0.338356603,-1.026580706,389785.01,0.36717,0.613112508
5,1-Amoena-PB,1,amoena,home,1715,1715_06,-85.65458,33.19064,1,19,15,1732.96,1,3.872,0.758,5.108,2.307,57.3,194.356,-1.76214825,-0.638340981,0.277028156,360196.47,0.3062,1.232930836
31,1-Amoena-PB,1,amoena,home,1715,1715_15,-85.65458,33.19064,1,0,6,1240,0,7.385,1.138,6.489,6.991,60.9,138.463,-1.209476243,4.50608348,-0.558945834,360196.47,0.3062,1.232930836
36,1-Amoena-PB,1,amoena,home,1715,1715_11,-85.65458,33.19064,1,15,29,2276,1,4.483,0.847,5.293,3.047,51.9,203.676,-1.24402378,-0.056746341,-0.597316652,360196.47,0.3062,1.232930836
64,1-Amoena-PB,1,amoena,home,1715,1715_02,-85.65458,33.19064,0,49,56,2180,1,4.441,1.013,4.384,3.583,54.4,158.26,-1.92791237,1.010560701,-0.300742907,360196.47,0.3062,1.232930836
85,1-Amoena-PB,2,amoena,home,1715,1715_12,-85.65458,33.19064,0,0,8,2162.36,1,3.987,0.813,4.904,2.519,49.3,299.169,-1.101734671,-1.233511693,-1.833267222,360196.47,0.3062,1.232930836
