trait,species1,garden1,species2,garden2,estimate,se,TStat,pval,test combo,LA estimate,focal species,order,pvalsig,LvH
herbivory,pilosa,amoena,amoena,amoena,-2.488184424,0.437466684,-5.687711801,0,2,2.488184424,amoena,2,yes,L
flower,amoena,deamii,amoena,amoena,0.318195837,0.025648145,12.40619292,0,3,0.318195837,amoena,11,yes,H
flower,amoena,pilosa,amoena,amoena,1.111350114,0.022497441,49.39895705,0,4,1.111350114,amoena,12,yes,H
fruit,amoena,deamii,amoena,amoena,0.335291087,0.029252117,11.4621137,0,3,0.335291087,amoena,15,yes,H
fruit,amoena,pilosa,amoena,amoena,1.002295818,0.026115527,38.3793066,0,4,1.002295818,amoena,16,yes,H
flower,deamii,pilosa,deamii,deamii,0.856597005,0.032352053,26.47736173,0,8,-0.856597005,deamii,32,yes,H
fruit,deamii,deamii,deamii,amoena,0.925562299,0.04293705,21.55626187,0,7,0.925562299,deamii,35,yes,H
fruit,deamii,pilosa,deamii,deamii,0.470638175,0.029156264,16.14192308,0,8,-0.470638175,deamii,36,yes,H
herbivory,pilosa,pilosa,pilosa,amoena,3.470032472,0.410737639,8.448294345,0,11,3.470032472,pilosa,43,yes,H
biomass,pilosa,pilosa,pilosa,amoena,0.739087713,0.144405714,5.118133433,0,11,0.739087713,pilosa,47,yes,H
biomass,pilosa,pilosa,pilosa,deamii,0.590173164,0.144405714,4.086910053,0,12,0.590173164,pilosa,48,yes,H
flower,pilosa,pilosa,pilosa,amoena,1.554336062,0.021446961,72.47348787,0,11,1.554336062,pilosa,51,yes,H
flower,pilosa,pilosa,pilosa,deamii,1.225568082,0.018803645,65.17715539,0,12,1.225568082,pilosa,52,yes,H
fruit,pilosa,pilosa,amoena,pilosa,1.154732246,0.232600661,4.964440942,0,9,1.154732246,pilosa,53,yes,L
fruit,pilosa,pilosa,pilosa,amoena,2.784939228,0.029147198,95.54740879,0,11,2.784939228,pilosa,55,yes,H
fruit,pilosa,pilosa,pilosa,deamii,1.223603288,0.014741614,83.00334817,0,12,1.223603288,pilosa,56,yes,H
survival,pilosa,pilosa,amoena,pilosa,1.217510016,0.281826193,4.320074026,0,9,1.217510016,pilosa,57,yes,L
survival,pilosa,pilosa,deamii,pilosa,1.499739485,0.344197932,4.357200743,0,10,1.499739485,pilosa,58,yes,L
survival,pilosa,pilosa,pilosa,amoena,1.287549324,0.272430983,4.72614865,0,11,1.287549324,pilosa,59,yes,H
survival,pilosa,pilosa,pilosa,deamii,2.086274504,0.311601611,6.695326434,0,12,2.086274504,pilosa,60,yes,H
herbivory,amoena,pilosa,amoena,amoena,2.205920281,0.561504223,3.928590724,0.0001,4,2.205920281,amoena,4,yes,H
herbivory,deamii,deamii,deamii,amoena,1.845558112,0.46101659,4.003235786,0.0001,7,1.845558112,deamii,23,yes,H
flower,deamii,deamii,deamii,amoena,-0.126469776,0.037176809,-3.401845956,0.0007,7,-0.126469776,deamii,31,yes,H
fruit,pilosa,pilosa,deamii,pilosa,1.097173012,0.323985147,3.386491706,0.0007,10,1.097173012,pilosa,54,yes,L
herbivory,pilosa,pilosa,pilosa,deamii,1.17613802,0.354602513,3.316778581,0.0009,12,1.17613802,pilosa,44,yes,H
survival,deamii,amoena,amoena,amoena,-1.01117565,0.355127274,-2.847361285,0.0044,1,1.01117565,amoena,17,yes,L
herbivory,amoena,deamii,amoena,amoena,1.110387482,0.394689227,2.81332098,0.0049,3,1.110387482,amoena,3,yes,H
survival,pilosa,deamii,deamii,deamii,-0.98049805,0.364224471,-2.692015855,0.0071,6,0.98049805,deamii,38,yes,L
fruit,pilosa,amoena,amoena,amoena,-0.627911164,0.234882218,-2.673302255,0.0075,2,0.627911164,amoena,14,yes,L
survival,amoena,deamii,amoena,amoena,-0.703107336,0.276276796,-2.544938068,0.0109,3,-0.703107336,amoena,19,yes,H
herbivory,deamii,amoena,amoena,amoena,-1.037131367,0.498305832,-2.08131493,0.0374,1,1.037131367,amoena,1,yes,L
survival,pilosa,amoena,amoena,amoena,-0.572096239,0.280191116,-2.041807201,0.0412,2,0.572096239,amoena,18,yes,L
herbivory,pilosa,pilosa,amoena,pilosa,-1.224072233,0.650152135,-1.882747387,0.0597,9,-1.224072233,pilosa,41,no,L
survival,amoena,pilosa,amoena,amoena,-0.502056931,0.26985037,-1.860501175,0.0628,4,-0.502056931,amoena,20,no,H
biomass,amoena,deamii,amoena,amoena,0.266566049,0.146170411,1.823666268,0.0682,3,0.266566049,amoena,7,no,H
biomass,pilosa,pilosa,amoena,pilosa,0.532903098,0.294430629,1.809944501,0.0703,9,0.532903098,pilosa,45,no,L
herbivory,pilosa,deamii,deamii,deamii,-1.002716717,0.576687638,-1.738751884,0.0821,6,1.002716717,deamii,22,no,L
survival,deamii,deamii,deamii,amoena,0.620852282,0.376249845,1.650106412,0.0989,7,0.620852282,deamii,39,no,H
biomass,deamii,pilosa,deamii,deamii,0.306306305,0.18768239,1.632046061,0.1027,8,-0.306306305,deamii,28,no,H
biomass,deamii,deamii,amoena,deamii,-0.632595567,0.395478633,-1.599569519,0.1097,5,-0.632595567,deamii,25,no,L
biomass,pilosa,pilosa,deamii,pilosa,0.584322959,0.391238084,1.493522697,0.1353,10,0.584322959,pilosa,46,no,L
herbivory,pilosa,pilosa,deamii,pilosa,0.66224485,0.576186875,1.149357748,0.2504,10,0.66224485,pilosa,42,no,L
survival,deamii,pilosa,deamii,deamii,-0.393963031,0.364044576,-1.082183493,0.2792,8,0.393963031,deamii,40,no,H
fruit,pilosa,deamii,deamii,deamii,0.344207899,0.324470923,1.060828179,0.2888,6,-0.344207899,deamii,34,no,L
fruit,deamii,amoena,amoena,amoena,-0.336345421,0.329240403,-1.021580033,0.307,1,0.336345421,amoena,13,no,L
herbivory,deamii,pilosa,deamii,deamii,-0.488823546,0.500162226,-0.977329996,0.3284,8,0.488823546,deamii,24,no,H
survival,deamii,deamii,amoena,deamii,0.312783967,0.337852698,0.925799821,0.3546,5,0.312783967,deamii,37,no,L
biomass,deamii,amoena,amoena,amoena,-0.344061015,0.395478633,-0.869986357,0.3843,1,0.344061015,amoena,5,no,L
flower,pilosa,amoena,amoena,amoena,-0.332377592,0.414242569,-0.802374302,0.4223,2,0.332377592,amoena,10,no,L
fruit,deamii,deamii,amoena,deamii,0.25392579,0.327810527,0.77461146,0.4386,5,0.25392579,deamii,33,no,L
biomass,pilosa,deamii,deamii,deamii,0.300456099,0.391238084,0.767962301,0.4425,6,-0.300456099,deamii,26,no,L
biomass,pilosa,amoena,amoena,amoena,-0.214487968,0.294430629,-0.728483883,0.4663,2,0.214487968,amoena,6,no,L
herbivory,deamii,deamii,amoena,deamii,-0.301960737,0.618267226,-0.488398422,0.6253,5,-0.301960737,deamii,21,no,L
flower,pilosa,pilosa,deamii,pilosa,0.271368581,0.570482093,0.475682907,0.6343,10,0.271368581,pilosa,50,no,L
flower,deamii,deamii,amoena,deamii,-0.224202953,0.578122586,-0.387812132,0.6982,5,-0.224202953,deamii,29,no,L
flower,deamii,amoena,amoena,amoena,0.22046266,0.578136491,0.381333238,0.703,1,-0.22046266,amoena,9,no,L
flower,pilosa,pilosa,amoena,pilosa,0.110608355,0.413572278,0.267446251,0.7891,9,0.110608355,pilosa,49,no,L
flower,pilosa,deamii,deamii,deamii,-0.097602497,0.57102108,-0.170926258,0.8643,6,0.097602497,deamii,30,no,L
biomass,deamii,deamii,deamii,amoena,-0.021968503,0.18768239,-0.11705149,0.9068,7,-0.021968503,deamii,27,no,H
biomass,amoena,pilosa,amoena,amoena,-0.008303353,0.146170411,-0.056805975,0.9547,4,-0.008303353,amoena,8,no,H
